,pdf_name,page,id,legible_name,Legal_Issues,Facts,Arguments,judges,petitioners,respondant
695,Indian_Young_Lawyers_Association_vs_The_State_Of_Kerala_on_28_September_2018.PDF,1,7fcb7f82-a0b7-4534-be40-8dcb015a9a31,Indian Young Lawyers Association vs The State Of Kerala on 28 September 2018.PDF,"The legal issue in the case revolves around the prohibition of women between the ages of 10 to 50 from entering the Sabarimala temple in Kerala. This prohibition is based on physiological or biological reasons common to women in that age group. The case raises questions related to Articles 25 and 26 of the Constitution of India, specifically concerning the right to freedom of religion and the management of religious affairs. The court had to determine whether the custom or usage of prohibiting women's entry into the temple violated Article 25(1) of the Constitution and the Kerala Hindu Places of Public Worship (Authorisation of Entry) Act, 1965 made under Article 25(2)(b) of the Constitution. Additionally, the constitutionality of Rule 3(b) of the Kerala Hindu Places of Public Worship (Authorisation of Entry) Rules, 1965 was also challenged, alleging violations of Article 25(1) and Article 15(1) of the Constitution. The legal issue at hand required the court to assess the constitutionality of the practices at the Sabarimala temple in light of the fundamental rights guaranteed by the Indian Constitution.","1. The case involves a dispute regarding the exclusion of women of menstruating age from entering a temple in Kerala.
2. The exclusionary practice is argued to result in discrimination against women as a class.
3. The case discusses the impact of the exclusion on the grounds of sex, specifically related to the biological feature of menstruation.
4. Article 17 prohibiting untouchability is referenced to argue against the exclusion of menstruating women.
5. The term ""morality"" in Articles 25 and 26 is interpreted to refer to Constitutional Morality, informed by various constitutional articles.
6. Arguments were made regarding the ultra vires nature of Rule 3(b) of the 1965 Act in protecting customs and usages.
7. Various parties were represented in the case, including the State of Kerala, Travancore Dewaswom Board, Chief Thantri, Nair Service Society, and others.
8. The State of Kerala filed affidavits supporting the petitioners but also suggested the appointment of a commission to consider allowing entry of women between 10 to 50 years into the temple.","1. The case raises grave issues regarding the prohibition of women aged 10 to 50 from entering the Sabarimala temple based on physiological reasons.
2. The petitioners argue that this prohibition violates Article 25(1) of the Constitution of India and the Kerala Hindu Places of Public Worship (Authorisation of Entry) Act, 1965.
3. It is contended that Rule 3(b) of the Kerala Hindu Places of Public Worship (Authorisation of Entry) Rules, 1965 is unconstitutional as it violates Article 25(1) and Article 15(1) of the Constitution.
4. The respondents requested the court not to decide the case without evidence from both sides, but it is argued that the writ petition and affidavits submitted provide sufficient evidence for judgment.
5. The judgment declares that the custom of barring women between 10 to 50 years from the Sabarimala temple is unconstitutional and violates fundamental rights guaranteed by the Constitution.","1. Chief Justice Dipak Misra
2. Justice Rohinton Fali Nariman
3. Justice A.M. Khanwilkar
4. Justice D.Y. Chandrachud
5. Justice Indu Malhotra",Indian Young Lawyers Association & Ors.,The State of Kerala & Ors.
894,Indra_Sawhney_Etc_Etc_vs_Union_Of_India_And_Others_Etc_Etc_on_16_November_1992.PDF,1,e52037c3-9858-43e7-ab0c-39183e45887a,Indra Sawhney Etc Etc vs Union Of India And Others Etc Etc on 16 November 1992.PDF,"The legal issue in the case revolves around the interpretation and application of provisions related to reservations in public services under the Indian Constitution. Specifically, the case delves into the constitutionality of race-conscious programs and whether caste, religion, or race can be valid bases for reservation of posts in government services. The court is tasked with determining whether the State is entitled to implement such reservations and whether they align with the principles of secularism enshrined in the Constitution. Additionally, the case examines the State's responsibility to uplift backward classes, promote social and educational advancement, and address the needs of weaker sections of society through special programs and policies. The court is called upon to assess whether these objectives can be achieved through race-conscious measures or religiously motivated programs, and whether such practices are in line with the intentions of the framers of the Constitution. Ultimately, the legal issue at hand involves reconciling the need to address social inequalities and uplift marginalized communities with the constitutional principles of secularism, equality, and justice.","1. The case involves a discussion on the Mandal Commission report and its implications on reservations for Other Backward Classes (OBCs) in India.
2. The Court emphasizes the importance of not conflating the Mandal Commission report with the actual Office Memorandum dated 13th August, 1990, which implemented reservations for OBCs.
3. It is mentioned that the stay of the list of Other Backward Classes in the State of Madhya Pradesh does not affect the operation of the Office Memorandum dated 13th August, 1990.
4. The Judges stress the role of the judiciary in interpreting the Constitution and advocating for social reforms, especially in the context of reservations for backward classes in education and public employment.
5. Various Commissions on Backward Classes appointed by different States and the Central Government are listed, highlighting the efforts made to identify and provide reservations for backward classes in India.","1. The Court emphasizes that it is unnecessary to express an opinion on the correctness or adequacy of the exercise done by the Mandal Commission.
2. The Court states that identifying the impugned Office Memorandums with the Mandal Commission report is erroneous and can lead to confusion.
3. The Court highlights that the Office Memorandum dated 13th August, 1990 does not directly incorporate the Mandal lists of O.B.Cs but rather incorporates State lists for the purpose of reservations.
4. The Court stresses the importance of giving due regard to the judgment of the Executive in social measures like the impugned Office Memorandum.
5. The Court clarifies that the stay of the list of Other Backward Classes by the High Court in Madhya Pradesh does not affect the operation of the Office Memorandum dated 13th August, 1990 with respect to other backward classes in the state.","1. M.H. Kania
2. M.N. Venkatachaliah
3. S. Ranavel Pandian
4. T.K. Thommen
5. A.M. Ahmadi
6. Kuldip Singh
7. P.B. Sawant
8. R.M. Sahai
9. B.P. Jeevan Reddy",Indra Sawhney Etc. Etc.,Union of India and Others
1101,Islamic_Academy_Of_Education_And_vs_State_Of_Karnataka_And_Others_on_14_August_2003.PDF,1,6687dc0d-4450-410a-97ad-777c852659cd,Islamic Academy Of Education And vs State Of Karnataka And Others on 14 August 2003.PDF,"The legal issue in the case revolves around the interpretation of judgments and the application of legal principles. The court discusses the importance of understanding the real dispute between parties and the need to avoid narrow and technical interpretations that may hinder the progress of a case. It emphasizes that adjudication should focus on the core issues of the dispute rather than peripheral matters. Additionally, the court highlights the significance of considering the reasons and discussions provided in a judgment along with the conclusions reached. The case also touches upon the role of statutory bodies in implementing court decisions and the need for comprehensive policies to address issues related to human resource development and employment generation.","1. The case involved a dispute between the Islamic Academy of Education and the State of Karnataka and Others.
2. The matter was initially heard by a bench of seven judges and later directed to be placed before a bench of at least eleven judges due to the Forty-second Amendment to the Constitution.
3. After the judgment was delivered on 31st October 2002, different interpretations of the majority judgment arose among the Union of India, various State Governments, and educational institutions.
4. This led to the enactment of different statutes and regulations by different State Governments, resulting in litigations in several courts.
5. The case was eventually brought before a bench of five judges to clarify any doubts or anomalies arising from the different interpretations of the majority decision.
6. Most of the petitioners were unaided professional educational institutions, both minority and non-minority, who argued for autonomy in admission of students and fee structure without government interference.
7. The petitioners contended that the answers given to the questions at the end of the majority judgment represented the true ratio of the judgment, but the court emphasized that the entire judgment must be considered to determine the ratio decidendi.","1. The case involved the interpretation of the Forty-second Amendment to the Constitution regarding the inclusion of ""education"" in Entry 25 of List III of the Seventh Schedule, particularly in relation to defining who would be considered a ""minority"" in the post-amendment era.
2. Different perspectives were taken by the Union of India, various State Governments, and educational institutions after the judgment was delivered, leading to the enactment of various statutes and regulations, resulting in litigations in several courts.
3. The petitioners argued that the answers given to the questions in the majority judgment should be considered as the true ratio of the judgment, emphasizing that any observations made in the body of the judgment should be read in the context of the answers provided.
4. It was contended that private, unaided professional educational institutions should have complete autonomy in admissions and fee structures, with the right to set their own fee structure as long as there is no profiteering or charging of capitation fees, and that interference by the government should be minimal.
5. Arguments were made regarding the rights of minority institutions under Article 30 of the Constitution, with emphasis on the equal rights of minorities and majorities in the context of admissions and establishment of educational institutions.
6. The case also discussed the rights of citizens, both belonging to minority and non-minority communities, under Article 19, highlighting the specific privileges granted to minority institutions in terms of establishing and running professional institutions.","V. N. Khare, S. N. Variava, K. G. Balakrishnan, Arijit Pasayat, S.B. Sinha",Islamic Academy of Education,State of Karnataka and others
1171,J_P_Bansal_vs_State_Of_Rajasthan_Anr_on_12_March_2003.PDF,1,e1659471-c5b7-4384-bb2a-15e868e532a5,J P Bansal vs State Of Rajasthan Anr on 12 March 2003.PDF,"The legal issue in the case revolves around the concept of legitimate expectation. Legitimate expectation is a principle that requires regularity, predictability, and certainty in government dealings with the public. It has both procedural and substantive aspects. Procedurally, legitimate expectation arises when an administrative decision affects a person by depriving them of a benefit or advantage they have been permitted to enjoy in the past and can legitimately expect to continue unless rational grounds for withdrawal have been communicated to them. Substantively, legitimate expectation involves representations made by the decision-maker regarding the granting or continuation of a benefit of a substantive nature.

In the case discussed, the issue of legitimate expectation was raised by the respondents who contended that they should receive a certain increase in allowance based on their revised scales. However, the National Building Construction Corporation (NBCC) rejected their claim based on the peculiar conditions under which they were working in Iraq. The court examined the doctrine of legitimate expectation in this context and emphasized that claims based on legitimate expectation require reliance on representations made by the decision-maker and a resulting detriment, similar to claims based on promissory estoppel. The court clarified that the principle of legitimate expectation is developed within the framework of reasonableness and natural justice.

Ultimately, the court found that the principles of legitimate expectation did not apply to the facts of the case and ruled that the appeal lacked merit and should be dismissed.","1. The appellant relied on various decisions to support their claim, emphasizing the need for compensation due to termination of appointment.
2. The State of Rajasthan argued that there was no Cabinet decision supporting the appellant's claim and that termination was based on legislative action.
3. The State contended that specific statutes already provided for compensation in similar cases, making the principles of legitimate expectation inapplicable.
4. The dispute centered around the interpretation of Article 166 of the Constitution, which mandates that all executive actions of the State Government must be in the name of the Governor.
5. The appellant's argument regarding Clause (2) of Article 310 was that compensation should be paid for premature termination of contractual service, but the State disagreed, stating that the clause is only enabling and does not mandate compensation unless specified in the contract.
6. The State maintained that the provision for compensation must be explicitly stated in the contract and cannot be implied.","1. The appellant argued that a Cabinet decision was made to release salary for the balance period of his tenure appointment, which he claimed was enforceable.
2. It was contended that even though there was no contractual provision for compensation, it should be considered an inherent requirement based on the spirit of Article 310(2) of the Constitution.
3. The appellant claimed that there was a violation of his legitimate expectation to continue until the end of his tenure period, and therefore, the State Government was obligated to pay compensation regardless of the existence of a previous Cabinet decision.","Shivaraj V. Patil, Arijit Pasayat",J.P. Bansal,State of Rajasthan & Anr.
1181,Jaishri_Laxmanrao_Patil_vs_The_Chief_Minister_And_Ors_on_5_May_2021.PDF,1,d6d79489-a78d-419d-a566-1c164605f677,Jaishri Laxmanrao Patil vs The Chief Minister And Ors on 5 May 2021.PDF,"The legal issue in the case revolves around the interpretation and application of the Constitution, specifically concerning the balance between Fundamental Rights (Part III) and Directive Principles of State Policy (Part IV). The case delves into the relationship between these two parts of the Constitution and the obligations they impose on the State. It discusses how the Constitution aims to achieve a balance between securing individual rights and promoting social, economic, and political justice for the citizens.

Furthermore, the case addresses the amendment brought about by the 42nd Amendment, which subordinates fundamental rights conferred by Articles 14 and 19 to the directive principles. This raises the fundamental question of how to reconcile the competing claims of individual rights and the broader societal goals outlined in the Directive Principles of State Policy.

The court's analysis focuses on the core principles of the Constitution, emphasizing the need to maintain harmony and balance between Fundamental Rights and Directive Principles. It underscores that the rights conferred by Part III are not standalone but are means to achieve the ends specified in Part IV. The judgment highlights the interdependence of these two parts and how any imbalance between them would undermine the basic structure of the Constitution.

In essence, the legal issue at the heart of the case is the intricate interplay between individual rights and societal welfare as enshrined in the Constitution, and how to interpret and apply these provisions in a manner that upholds the foundational principles of the legal framework.","1. The case involves a discussion on the judgment in the case of Indra Sawhney v. Union of India, specifically regarding the need for a larger bench to review it in light of subsequent Constitutional Amendments, judgments, and societal changes.
2. The petitioner argued about the existence of a 50% limit on reservations as per the Indra Sawhney judgment, while also pointing out dissenting views in other judgments.
3. The respondents suggested a re-examination of the Indra Sawhney ruling due to conflicting opinions in different cases.
4. The principle of stare decisis was discussed, emphasizing the binding nature of larger bench rulings over smaller bench decisions.
5. The case also involved an evaluation of the Gaikwad Commission Report to determine if exceptional circumstances existed for granting separate reservations to the Maratha community exceeding the 50% limit.
6. The amendments made in the Act of 2018, which provided separate reservations for the Maratha community, were scrutinized to assess if they aligned with the judgment in the Indra Sawhney case.","1. The petitioner argued that there was inconsistency and uncertainty regarding the 50% reservation limit based on various judgments, but this was not deemed sufficient to warrant a review of the existing rule.
2. The respondents contended that conflicting opinions in different cases should prompt a re-examination of the ruling in the Indra Sawhney case.
3. The principle of stare decisis was highlighted, emphasizing that decisions of larger bench formations prevail over rulings of smaller benches, and a supermajority decision should not automatically cast doubt on the legitimacy of a previous unanimous precedent.","1. Ashok Bhushan
2. L. Nageswara Rao
3. S. Abdul Nazeer
4. Hemant Gupta
5. S. Ravindra Bhat","1. Dr. Jaishri Laxmanrao Patil
2. Sanjeet Shukla
3. Krishnaji Dattatraya More
4. Madhushri Nandkishor Jethliya & Ors.
5. Devendra Roopchand Jain & Ors.
6. Kamalakar Sukhdeo Darode @ Darwade
7. Deshmukh Esha Girish
8. Aditya Bimal Shastri & Ors.","1. The Chief Minister
2. The State of Maharashtra
3. Dr. Jaishri Laxmanrao & Ors.
4. The State of Maharashtra & Ors.
5. The State of Maharashtra & Anr."
1432,Jarnail_Singh_vs_Lachhmi_Narain_Gupta_on_26_September_2018.PDF,1,52077414-acdb-4fcc-9393-509053d56880,Jarnail Singh vs Lachhmi Narain Gupta on 26 September 2018.PDF,"The legal issue in the case revolves around the constitutional validity of certain amendments related to reservation policies in India. The case discusses the amendments made to Articles 14, 15, and 16 of the Indian Constitution, particularly focusing on reservation provisions for Socially and Economically Backward Classes. The key question at hand is whether these amendments alter the basic structure of the Constitution, especially in terms of equality and reservation policies.

The case delves into the criteria for reservation, emphasizing the importance of identifying and measuring backwardness, inadequacy of representation, and overall administrative efficiency. It highlights that these factors are context-specific and must be evaluated on a case-by-case basis. The judgment stresses that the amendments do not remove the limitations set by the Constitution regarding reservation policies.

Furthermore, the case addresses the concern that the amendments were introduced to overrule previous decisions of the court. It clarifies that the pronouncements of the Supreme Court are the law of the land under Article 141 of the Constitution and that any changes to established legal principles must be carefully examined. The judgment emphasizes that the amendments are enabling in nature, leaving it to the states to implement reservation policies within the framework provided by the Constitution.

Overall, the legal issue in the case involves analyzing whether the amendments to reservation provisions maintain the fundamental principles of equality, justice, and efficiency as outlined in the Constitution, without altering the basic structure of the law.","1. The case involved a judgment by a nine-Judge Bench in the matter of the Mandal Commission Report of 1980.
2. The Report was presented to Parliament in 1982 and 1983, but action based on it was not taken until 1990.
3. An Office Memorandum in 1990 reserved 27% of civil post vacancies for Socially and Economically Backward Classes.
4. A subsequent Office Memorandum in 1991 specified that within the 27% reservation, preference should be given to candidates from poorer sections of the Backward Classes.
5. The case discussed the criteria of ""backwardness"" and ""inadequacy of representation"" as essential for reservation.
6. It emphasized that equity, justice, and efficiency are variable factors, dependent on the specific circumstances of each case.
7. The judgment highlighted that the State must correctly identify and measure backwardness and inadequacy for reservation to be valid.
8. The amendments discussed in the case did not alter the core structure of Articles 14, 15, and 16 of the Constitution.
9. The amendments were seen as enabling in nature, leaving it to the States to provide for reservation within the parameters set by the Constitution.
10. The case affirmed that the pronouncements of the Supreme Court are the law of the land and any legislative changes must adhere to these pronouncements.","1. The learned Attorney General argued for the reconsideration of Nagaraj (supra) on two main points:
2. Firstly, he contended that the requirement for the State to collect quantifiable data on backwardness, as stated in Nagaraj (supra), contradicts the judgment in Indra Sawhney (1), which presumes Scheduled Castes and Scheduled Tribes as the most backward without needing to prove it again.
3. Secondly, he highlighted that the creamy layer concept was not applied to Scheduled Castes and Scheduled Tribes in Indra Sawhney (1), and Nagaraj (supra) incorrectly applied this concept to them.
4. The Attorney General also argued that Nagaraj (supra) did not provide a test for determining adequacy of representation in service, proposing that the proportion of Scheduled Castes and Scheduled Tribes to the population in India at all promotion stages should be the test, utilizing the roster from R.K. Sabharwal v. State of Punjab.
5. Other counsel, including Ms. Indira Jaising, supported revisiting Nagaraj (supra) on the grounds that Article 16(4-A) and 16(4-B) do not stem from Article 16(4) but from Articles 14 and 16(1) of the Constitution, and that any further sub-classification within Scheduled Castes and Scheduled Tribes is impermissible as per previous judgments.
6. The argument was made that Nagaraj (supra) could potentially amend the Presidential Order related to Scheduled Castes and Scheduled Tribes, violating the exclusive amendment power of Parliament under Articles 341 and 342 of the Constitution.
7. Lastly, it was contended that Nagaraj (supra) and Chinnaiah (supra) are incompatible, with Nagaraj (supra) being per incuriam as it did not reference the Chinnaiah (supra) judgment at all.","1. Indu Malhotra
2. Sanjay Kishan Kaul
3. R.F. Nariman
4. Kurian Joseph
5. Dipak Misra",JARNAIL SINGH & OTHERS,Lachhmi Narain Gupta
1460,Jarnail_Singh_vs_Lachhmi_Narain_Gupta_on_28_January_2022.PDF,1,9e2415f1-3976-4f81-a0ed-be52c663c95d,Jarnail Singh vs Lachhmi Narain Gupta on 28 January 2022.PDF,"The legal issue in the case revolves around the applicability of the doctrine of prospective overruling in the context of a judgment made by the Supreme Court. The discussion involves whether a judgment can be made prospectively applicable by a different bench of the Court and the implications of such a decision. The case delves into the concept of prospective overruling, which allows for a judgment to have prospective operation, meaning it applies from the date of the judgment onwards, rather than retroactively affecting past transactions. This issue is being debated in light of the M. Nagaraj case and the arguments put forth by different parties regarding the prospective applicability of the law laid down in that case. The reference to the doctrine of prospective overruling in the United States, particularly in the Linkletter case, provides additional insight into how this legal principle has been applied in a different jurisdiction. The legal issue at hand involves the interpretation and application of the doctrine of prospective overruling within the Indian legal system, specifically in the context of the M. Nagaraj case and its implications for future judgments.","1. The case involves a matter related to the determination of inadequate representation of Scheduled Castes (SCs) and Scheduled Tribes (STs) in public employment.
2. The court emphasized that the discretion to provide reservation is subject to the existence of backwardness and inadequacy of representation in public employment.
3. The court highlighted that there is no fixed yardstick to identify equality, justice, and efficiency, as these factors are variable and depend on the specific circumstances of each case.
4. It was mentioned that the determination of inadequate representation of SCs and STs in services under a State is at the discretion of the State, as it depends on various factors that the court cannot foresee.
5. The court decided to leave it to the States to establish the criteria for determining inadequacy of representation, rather than laying down a specific yardstick for measuring adequacy of representation.
6. The case discussed the unit for collecting quantifiable data, using the example of seniority of Superintending Engineers in the Irrigation Department of the State of Punjab and the reservation policies in place for SCs.","1) The Court made it clear that arguments for reconsideration of the law laid down in a previous case were not to be entertained.
2) The cases were categorized into eleven groups, and common issues were identified for discussion.
3) Six points were formulated for determination, including the yardstick for arriving at quantifiable data on inadequacy of representation of SCs and STs in public employment.
4) The need for quantifiable data supported by backwardness and inadequacy of representation for reservations in public employment was emphasized.
5) The importance of allowing the State Government to determine factors relevant for deciding adequate representation in promotional posts was highlighted.
6) It was established that courts should not issue directions or advisory sermons to the executive in matters within their exclusive domain under the Constitution.","1. B.R. Gavai
2. Sanjiv Khanna
3. L. Nageswara Rao",Jarnail Singh & Ors.,Lachhmi Narain Gupta & Ors.
1490,Jatya_Pal_Singh_Ors_vs_Union_Of_India_Ors_on_17_April_2013.PDF,1,6cc38b61-df39-43f5-8b65-80e6c43ece7e,Jatya Pal Singh Ors vs Union Of India Ors on 17 April 2013.PDF,"The legal issue in the case revolves around the termination of services of certain employees of VSNL (Videsh Sanchar Nigam Limited) and the authority under which these terminations were carried out. The employees argue that the officers who issued the termination letters were not competent or authorized to do so according to the Conduct Discipline and Appeal Rules of VSNL. They claim that these rules have the force of law and that the terminations were done without proper legal authority.

Furthermore, the employees challenge the view that the service rules governing them do not have statutory force and are merely contractual in nature. They argue that VSNL, being in partnership with the Union of India, is obligated to uphold the rule of law and adhere to the regulations outlined in the Conduct Discipline and Appeal Rules of 1992.

The case also delves into the jurisdiction of the High Court under Article 226 of the Constitution of India, which is considered broader than the powers of the Supreme Court under Article 32. The argument is made that when a private entity performs public functions, even if it is not a State entity, individuals affected by its actions have the right to seek redress through a writ petition under Article 226.

Overall, the legal issue at hand involves the termination of employees at VSNL, the authority under which these terminations were conducted, the applicability and legal force of the company's Conduct Discipline and Appeal Rules, and the jurisdiction of the High Court in addressing grievances related to actions of private entities performing public functions.","1. The case involves former employees of Videsh Sanchar Nigam Limited (VSNL) who filed writ petitions questioning the maintainability of the petitions against VSNL.
2. VSNL argued that writ petitions were not maintainable against it as it was not considered a State under Article 12 of the Indian Constitution and was not performing public functions.
3. The Single Judge accepted VSNL's objection and dismissed the writ petitions on August 29, 2011. The Division Bench upheld this decision on November 14 and 15, 2011.
4. Some of the original writ appellants appealed the High Court's decision in civil appeals - Ram Prakash in C.A.No.5740 of 2012 and Vijay Thakur in C.A.No.425 of 2012.
5. The employees had been working in the Ministry of Communication, specifically the Department of Overseas Communication Service (OCS) since March 1, 1971.
6. The employees were appointed to various positions between 1971 and 1983 and had received promotions based on merit with a clean service record.
7. VSNL, which had been granted a license by the Ministry of Communication for short and long-distance services, had its licenses renewed for another 20 years in 2004.
8. The case involved terminations of employees by VSNL in 2007, with appellants arguing that the officers who issued the termination letters were not authorized under VSNL's rules.
9. The appellants contended that VSNL breached its Conduct Discipline and Appeal Rules, which they argued had the force of law, and that the High Court's judgment was cryptic and non-speaking.
10. Arguments were made regarding the powers of the High Court under Article 226 compared to the Supreme Court under Article 32, citing precedents related to private bodies performing public functions and the definition of State or other authority.","1. The former employees of Videsh Sanchar Nigam Limited (VSNL) argued that their writ petitions were maintainable despite VSNL's objection that it was not a State under Article 12 of the Indian Constitution and was not performing any public function.
  
2. The appellants in the writ petitions contended that they had been working in the Ministry of Communication, specifically in the Department of Overseas Communication Service (OCS) since March 1, 1971, and had received promotions based on merit with a clean service record.

3. The employees highlighted their appointments on various dates, such as Appellant Nos. 1 and 2 as Assistant Engineers in 1983, Appellant Nos. 3 and 4 as Junior Technical Assistants in 1971 and 1976, and Appellants 5 and 6 in 1980, emphasizing their responsible positions in the OCS until March 31, 1986.

4. The background of VSNL was presented, tracing the origin of the Overseas Communication Service (OCS) back to January 1, 1947, when it was taken over by the government from a private company, Indian Radio and Telecommunication Company Ltd.",Anil R. Dave,"1. Jatya Pal Singh & Ors
2. M.P. Singh
3. Vijay Thakur
4. Videsh Sanchar Nigam Scheduled Castes/Tribes Employees Welfare Samiti (Regd.)
5. Ram Prakash",Union of India & Ors.
1508,Joseph_Shine_vs_Union_Of_India_Secretary_on_31_January_2023.PDF,1,9c73c1b8-0f40-42e6-9b88-cb0fb19cd283,Joseph Shine vs Union Of India Secretary on 31 January 2023.PDF,"The legal issue in the case revolves around the request for clarification of a judgment by the applicant. The applicant is seeking clarification on the impact of a previous court judgment on certain provisions of the Indian Penal Code and the Armed Forces Acts. The applicant argues that while the court found a specific section of the Indian Penal Code unconstitutional, there is a concern that this judgment may be misconstrued to nullify the relevance of provisions within the Armed Forces Acts that govern the conduct of armed forces personnel. The applicant highlights Article 33 of the Constitution, which allows Parliament to modify certain rights conferred by the Constitution in their application to members of the Armed Forces to ensure discipline and proper discharge of duties.

The applicant contends that there is a misconception that the court's previous judgment renders the provisions of the Armed Forces Acts irrelevant, even if a case is made under those provisions. The applicant, represented by the learned Additional Solicitor General, emphasizes specific provisions of the Army Act, 1950, to illustrate the potential conflict between the court's judgment and the statutory provisions governing the armed forces.

In essence, the legal issue at hand is the need for clarification regarding the interplay between a court judgment declaring a section of the Indian Penal Code unconstitutional and the statutory provisions under the Armed Forces Acts that regulate the conduct of armed forces personnel. The applicant seeks to ensure that the judgment does not inadvertently undermine the applicability and enforcement of the provisions within the Armed Forces Acts.","1. The applicant is seeking clarification of a judgment by the Court regarding the constitutionality of Section 497 of the Indian Penal Code, 1860.
2. The applicant argues that officers of the Armed forces are subject to statutory provisions under the Army Act, 1950, Navy Act, 1957, and the Air Force Act, 1950.
3. Article 33 of the Constitution allows Parliament to restrict or abrogate certain rights conferred by the Constitution on members of the Armed Forces to ensure the proper discharge of their duties and maintenance of discipline.
4. The applicant believes that the judgment being clarified may give the impression that nothing more would survive even if a case is made under the relevant provisions of the Acts in question.
5. The Court clarified that the judgment in question was solely concerned with the validity of Section 497 IPC and Section 198 Cr.P.C., finding them unconstitutional based on Articles 14, 15, and 21 of the Constitution.
6. The Court did not consider the effect and operation of the relevant provisions in the Acts related to the Armed Forces, such as Sections 45 and 63 of the 1950 Act, as it was not within the scope of the judgment being clarified.","1. Applications for ""clarification,"" ""modification,"" or ""recall"" are sometimes used as a way to bypass the review process and obtain a hearing in open court.
2. The court should not permit hearings for such applications if they are essentially review applications in disguise.
3. Judicial pronouncements are meant to be stable and final, discouraging repeated applications seeking modification or clarification after a judgment has been pronounced.
4. Filing miscellaneous applications to seek modification or clarification of a judgment is not legally supported and goes against the finality of judicial decisions.","K.M. Joseph, Ajay Rastogi, Aniruddha Bose, Hrishikesh Roy, C.T. Ravikumar",Joseph Shine,Union of India Secretary
1518,Justice_K_S_Puttaswamy_Retd_vs_Union_Of_India_on_26_September_2018.PDF,1,98ff9f8c-0b17-4c5a-8476-fa807c38788f,Justice K S Puttaswamy Retd vs Union Of India on 26 September 2018.PDF,The legal issue in the case revolves around the government's response to judicial orders and the enforcement of the rule of law. The court emphasizes the importance of upholding judicial directions and ensuring compliance with them. It highlights the significance of judicial review in maintaining the rule of law and keeping all branches of the government within the boundaries set by the law. The case underscores the fundamental duty of the court to prevent the disregard of its orders and the potential consequences of allowing such actions to go unchecked. The core legal issue is the government's obligation to adhere to judicial orders and the broader implications for the rule of law if these orders are not respected.,"1. The case involves a judgment delivered on behalf of four Judges that recognized the impact of Article 14 in determining whether a law violates Article 21.
2. The evolution of Article 21 since a previous decision indicates two major areas of change, emphasizing that fundamental rights are interconnected and that Article 14 influences Article 21.
3. The expression ""procedure established by law"" in Article 21 is not merely a formalistic requirement but involves both procedural and substantive reasonableness.
4. The Court highlighted the liberal predicament where the state must remain neutral towards different views in a plural society, balancing potentially conflicting rights based on a legitimate idea of justice.
5. The case involved the balancing of two facets of an individual's dignity - personal autonomy and leading a dignified life, especially in the context of state welfare schemes.
6. The Court emphasized the importance of balancing autonomy and economic benefits in state actions, ensuring that there is no undue intrusion into autonomy under the guise of providing economic benefits.
7. The doctrine of proportionality was discussed, emphasizing that any state action violating the right to privacy must be tested based on legality, necessity for a legitimate aim, and proportionality of interference.","1. Overlapping and repetitive arguments were presented by multiple advocates on both sides.
2. The discussions on various heads of challenge were aimed at providing clarity and continuity of thought.
3. The advocates on both sides presented nuanced arguments on the complex issues involved.
4. A plethora of literature, including foreign judgments, was cited during the arguments.
5. The history of the court accepting good practices, rules of interpretation, and norms from other jurisdictions was highlighted.
6. The constitutional influences from the UK and the US on the Indian Constitution were summarized.","1. Chief Justice
2. A.K. Sikri
3. A.M. Khanwilkar
4. D.Y. Chandrachud
5. Ashok Bhushan",Justice K.S. Puttaswamy (Retd.),Union of India and Others
